id,task,dataset,n,p,dataset_seed,category,method,method_seed,HPs,time,success,R2,R2train
reg_0_133_21_5_mlrnet_mlrnetfast_0_nohp,reg,0,133,21,5,mlrnet,mlrnetfast,0,nohp,1.090695858001709,True,0.8500694013600476,0.9643321551977784
reg_0_133_21_5_NN_regularnetfast_0_nohp,reg,0,133,21,5,NN,regularnetfast,0,nohp,0.9417247772216797,True,0.8869083246452676,0.9763950187185889
reg_0_133_21_6_Baseline_Intercept_0_nohp,reg,0,133,21,6,Baseline,Intercept,0,nohp,0.0005764961242675781,True,-0.05711628576188166,0.0
reg_0_133_21_6_GLM_Ridge_0_nohp,reg,0,133,21,6,GLM,Ridge,0,nohp,0.0013492107391357422,True,0.7990106676579556,0.8655143224712665
reg_0_133_21_6_GLM_Lasso_0_nohp,reg,0,133,21,6,GLM,Lasso,0,nohp,0.04077482223510742,True,0.7989809399443966,0.8654682827237985
reg_0_133_21_6_GLM_Enet_0_nohp,reg,0,133,21,6,GLM,Enet,0,nohp,0.041516780853271484,True,0.7992824390941088,0.8654076397221278
reg_0_133_21_6_TREE_CART_0_nohp,reg,0,133,21,6,TREE,CART,0,nohp,0.001321554183959961,True,0.7789967639630585,1.0
reg_0_133_21_6_RF_XRF_0_nohp,reg,0,133,21,6,RF,XRF,0,nohp,0.08666753768920898,True,0.7909801960564292,1.0
reg_0_133_21_6_GBDT_xgb_sklearn_0_nohp,reg,0,133,21,6,GBDT,xgb_sklearn,0,nohp,0.027646541595458984,True,0.8189226156057869,0.979123112543959
reg_0_133_21_6_SVM_Kernel_0_nohp,reg,0,133,21,6,SVM,Kernel,0,nohp,0.001257181167602539,True,0.8059646638099154,0.8649138328843154
reg_0_133_21_6_SVM_NuSVM_0_nohp,reg,0,133,21,6,SVM,NuSVM,0,nohp,0.004019021987915039,True,0.7740614342878582,0.9648374634668178
reg_0_133_21_6_NN_MLP_sklearn_0_nohp,reg,0,133,21,6,NN,MLP_sklearn,0,nohp,0.10551190376281738,True,0.7661518196276771,0.9859946996940789
reg_0_133_21_6_RF_RF_0_nohp,reg,0,133,21,6,RF,RF,0,nohp,0.10666179656982422,True,0.8153713957186135,0.9882949184518441
reg_0_133_21_6_MARS_MARS_0_nohp,reg,0,133,21,6,MARS,MARS,0,nohp,0.020339250564575195,True,0.8188639493162511,0.8612072516993057
reg_0_133_21_6_GBDT_XGBoost_0_nohp,reg,0,133,21,6,GBDT,XGBoost,0,nohp,0.031136035919189453,True,0.8199493514691848,0.9999495292362455
reg_0_133_21_6_GBDT_LGBM_0_nohp,reg,0,133,21,6,GBDT,LGBM,0,nohp,0.007964134216308594,True,0.7488420907354592,0.898626767701597
reg_0_133_21_6_mlrnet_mlrnetfast_0_nohp,reg,0,133,21,6,mlrnet,mlrnetfast,0,nohp,1.1371009349822998,True,0.826868576470917,0.9813301852945818
reg_0_133_21_6_NN_regularnetfast_0_nohp,reg,0,133,21,6,NN,regularnetfast,0,nohp,0.9329862594604492,True,0.8453378454203857,0.9765902090321316
reg_0_133_21_7_Baseline_Intercept_0_nohp,reg,0,133,21,7,Baseline,Intercept,0,nohp,0.0006031990051269531,True,-0.003554540002967066,0.0
reg_0_133_21_7_GLM_Ridge_0_nohp,reg,0,133,21,7,GLM,Ridge,0,nohp,0.0013031959533691406,True,0.7871351946906014,0.8735186155198198
reg_0_133_21_7_GLM_Lasso_0_nohp,reg,0,133,21,7,GLM,Lasso,0,nohp,0.04459404945373535,True,0.7887042830565589,0.8725422136763541
reg_0_133_21_7_GLM_Enet_0_nohp,reg,0,133,21,7,GLM,Enet,0,nohp,0.0449526309967041,True,0.7879887128765458,0.8722169972406172
reg_0_133_21_7_TREE_CART_0_nohp,reg,0,133,21,7,TREE,CART,0,nohp,0.0014595985412597656,True,0.7845779871121179,1.0
reg_0_133_21_7_RF_XRF_0_nohp,reg,0,133,21,7,RF,XRF,0,nohp,0.08813261985778809,True,0.8107586147636674,1.0
reg_0_133_21_7_GBDT_xgb_sklearn_0_nohp,reg,0,133,21,7,GBDT,xgb_sklearn,0,nohp,0.02731037139892578,True,0.8542200460157018,0.9815869260202541
reg_0_133_21_7_SVM_Kernel_0_nohp,reg,0,133,21,7,SVM,Kernel,0,nohp,0.0015151500701904297,True,0.7871985793061085,0.8735151880063269
reg_0_133_21_7_SVM_NuSVM_0_nohp,reg,0,133,21,7,SVM,NuSVM,0,nohp,0.0039424896240234375,True,0.8182661744580897,0.9699230454708057
reg_0_133_21_7_NN_MLP_sklearn_0_nohp,reg,0,133,21,7,NN,MLP_sklearn,0,nohp,0.1089639663696289,True,0.822463422822734,0.9864727094229916
reg_0_133_21_7_RF_RF_0_nohp,reg,0,133,21,7,RF,RF,0,nohp,0.11168646812438965,True,0.8668721045597491,0.98622843263899
reg_0_133_21_7_MARS_MARS_0_nohp,reg,0,133,21,7,MARS,MARS,0,nohp,0.027205467224121094,True,0.8188321703846834,0.8666243009663046
