id,task,dataset,n,p,dataset_seed,category,method,method_seed,HPs,time,success,ACC,AUC,ACCtrain,AUCtrain
clf_16_2387_144_1_GBDT_ADABoost_0_nohp,clf,16,2387,144,1,GBDT,ADABoost,0,nohp,0.3266324996948242,True,0.7738693467336684,0.8517678751823998,0.8118977796397151,0.8895301980441299
clf_16_2387_144_1_NN_MLP_sklearn_0_nohp,clf,16,2387,144,1,NN,MLP_sklearn,0,nohp,1.812852144241333,True,0.7855946398659966,0.8425749242339207,1.0,1.0
clf_16_2387_144_1_RF_RF_0_nohp,clf,16,2387,144,1,RF,RF,0,nohp,0.41980481147766113,True,0.7973199329983249,0.8827084970254798,1.0,1.0
clf_16_2387_144_1_GBDT_XGBoost_0_nohp,clf,16,2387,144,1,GBDT,XGBoost,0,nohp,1.0573954582214355,True,0.7973199329983249,0.872264002693905,1.0,1.0
clf_16_2387_144_1_GBDT_LGBM_0_nohp,clf,16,2387,144,1,GBDT,LGBM,0,nohp,0.17317438125610352,True,0.8090452261306532,0.8758334268717027,0.9983242563887725,0.9999957877887997
clf_16_2387_144_1_mlrnet_mlrnetfast_0_nohp,clf,16,2387,144,1,mlrnet,mlrnetfast,0,nohp,1.2129676342010498,True,0.7772194304857621,0.848905601077562,0.9375785504817763,0.9718210091053965
clf_16_2387_144_1_NN_regularnetfast_0_nohp,clf,16,2387,144,1,NN,regularnetfast,0,nohp,1.1101889610290527,True,0.7872696817420436,0.8445055561791447,0.9530791788856305,0.9853478233398623
clf_16_2387_144_2_Baseline_Intercept_0_nohp,clf,16,2387,144,2,Baseline,Intercept,0,nohp,0.0032300949096679688,True,0.507537688442211,0.5366774541531824,0.5152911604524508,0.4985133381823901
clf_16_2387_144_2_GLM_Ridge_0_nohp,clf,16,2387,144,2,GLM,Ridge,0,nohp,2.8628082275390625,True,0.7906197654941374,0.85620055735347,0.8186007540846251,0.8886874689328049
clf_16_2387_144_2_GLM_LinearRidge_0_nohp,clf,16,2387,144,2,GLM,LinearRidge,0,nohp,0.025418519973754883,True,0.7939698492462312,0.8498404350952895,0.8181818181818182,0.8868887309981098
clf_16_2387_144_2_GLM_Lasso_0_nohp,clf,16,2387,144,2,GLM,Lasso,0,nohp,8.12095332145691,True,0.7889447236180904,0.8551105717367854,0.8202764976958525,0.8890371065173008
clf_16_2387_144_2_GLM_Enet_0_nohp,clf,16,2387,144,2,GLM,Enet,0,nohp,36.9027054309845,True,0.7855946398659966,0.8545880528586839,0.7913699204021785,0.8413733595818953
