id,task,dataset,n,p,dataset_seed,category,method,method_seed,HPs,time,success,R2,R2train
reg_0_109_330_1_GLM_Lasso_0_nohp,reg,0,109,330,1,GLM,Lasso,0,nohp,2.8621909618377686,True,-0.44189679805657844,0.6693540426381092
reg_0_109_330_1_GLM_Enet_0_nohp,reg,0,109,330,1,GLM,Enet,0,nohp,2.0234568119049072,True,-0.36084811894708757,0.6512207733251272
reg_0_109_330_1_TREE_CART_0_nohp,reg,0,109,330,1,TREE,CART,0,nohp,0.004292964935302734,True,-1.485782899718974,1.0
reg_0_109_330_1_RF_XRF_0_nohp,reg,0,109,330,1,RF,XRF,0,nohp,0.2869884967803955,True,-1.425947116110073,1.0
reg_0_109_330_1_GBDT_xgb_sklearn_0_nohp,reg,0,109,330,1,GBDT,xgb_sklearn,0,nohp,0.0894937515258789,True,-0.6543273380485255,0.9373683888037732
reg_0_109_330_1_SVM_Kernel_0_nohp,reg,0,109,330,1,SVM,Kernel,0,nohp,0.0015676021575927734,True,-2.1761784351297115,0.9703639065214976
reg_0_109_330_1_SVM_NuSVM_0_nohp,reg,0,109,330,1,SVM,NuSVM,0,nohp,0.008761405944824219,True,-0.002113408525915572,0.6250148924652345
reg_0_109_330_1_NN_MLP_sklearn_0_nohp,reg,0,109,330,1,NN,MLP_sklearn,0,nohp,0.08190321922302246,True,-0.4634160117668549,0.9963643230261362
reg_0_109_330_1_RF_RF_0_nohp,reg,0,109,330,1,RF,RF,0,nohp,0.26159191131591797,True,-0.1078354098819132,0.866791461092596
reg_0_109_330_2_Baseline_Intercept_0_nohp,reg,0,109,330,2,Baseline,Intercept,0,nohp,0.0005247592926025391,True,-0.0041692113882441095,0.0
reg_0_109_330_2_GLM_Ridge_0_nohp,reg,0,109,330,2,GLM,Ridge,0,nohp,0.002252817153930664,True,-0.5428377307294461,0.8175830075968898
