id,task,dataset,n,p,dataset_seed,strat,category,method,method_seed,HPs,time,success,ACC,AUC,ACCtrain,AUCtrain
clf_7_348_48_6_False_GBDT_xgb_sklearn_0_nohp,clf,7,348,48,6,False,GBDT,xgb_sklearn,0,nohp,0.0807607173919677,True,0.9540229885057471,0.9931818181818182,1.0,1.0
clf_7_348_48_6_False_GBDT_ADABoost_0_nohp,clf,7,348,48,6,False,GBDT,ADABoost,0,nohp,0.0910518169403076,True,0.9310344827586207,0.9872159090909092,0.9827586206896551,0.9995837957824638
clf_7_348_48_6_False_NN_MLP_sklearn_0_nohp,clf,7,348,48,6,False,NN,MLP_sklearn,0,nohp,0.3136398792266845,True,0.9310344827586207,0.9823863636363637,1.0,1.0
clf_7_348_48_6_False_RF_RF_0_nohp,clf,7,348,48,6,False,RF,RF,0,nohp,0.1396872997283935,True,0.9425287356321839,0.9954545454545455,1.0,1.0
clf_7_348_48_6_False_GBDT_XGBoost_0_nohp,clf,7,348,48,6,False,GBDT,XGBoost,0,nohp,0.0570986270904541,True,0.9425287356321839,0.9926136363636363,0.9971264367816092,1.0
clf_7_348_48_6_False_GBDT_LGBM_0_nohp,clf,7,348,48,6,False,GBDT,LGBM,0,nohp,0.0270493030548095,True,0.9540229885057471,0.9900568181818182,1.0,1.0
clf_7_348_48_6_False_mlrnet_mlrnetfast_0_nohp,clf,7,348,48,6,False,mlrnet,mlrnetfast,0,nohp,1.233910322189331,True,0.9655172413793104,0.9801136363636364,0.9942528735632183,0.9999653163152054
clf_7_348_48_6_False_NN_regularnetfast_0_nohp,clf,7,348,48,6,False,NN,regularnetfast,0,nohp,1.059885025024414,True,0.9425287356321839,0.9903409090909091,0.9942528735632183,0.9999306326304106
clf_7_348_48_7_False_Baseline_Intercept_0_nohp,clf,7,348,48,7,False,Baseline,Intercept,0,nohp,0.0023438930511474,True,0.4827586206896552,0.48352272727272727,0.47413793103448276,0.5310765815760267
clf_7_348_48_7_False_GLM_Ridge_0_nohp,clf,7,348,48,7,False,GLM,Ridge,0,nohp,0.1025748252868652,True,0.9540229885057471,0.99375,0.9913793103448276,0.9997918978912319
clf_7_348_48_7_False_GLM_LinearRidge_0_nohp,clf,7,348,48,7,False,GLM,LinearRidge,0,nohp,0.0050029754638671,True,0.9540229885057471,0.9960227272727272,0.9597701149425287,0.9971906215316315
clf_7_348_48_7_False_GLM_Lasso_0_nohp,clf,7,348,48,7,False,GLM,Lasso,0,nohp,0.2721114158630371,True,0.9540229885057471,0.9971590909090908,0.9712643678160919,0.9968091009988902
